Island,Site,Genus,Effort
GUA,OCC-GUA-015,ACSP,12.5
GUA,OCC-GUA-025,ACSP,12.5
GUA,OCC-GUA-026,ACSP,5
SAI,OCC-SAI-009,ACSP,120.6
SAI,OCC-SAI-012,ACSP,12.5
MAU,OCC-MAU-002,ACSP,126.8
MAU,OCC-MAU-019,ACSP,118
PAG,OCC-PAG-006,ACSP,90.2
PAG,OCC-PAG-013,ACSP,19
ASC,OCC-ASC-003,ACSP,124
GUA,OCC-GUA-015,POSP,12.5
GUA,OCC-GUA-025,POSP,12
GUA,OCC-GUA-026,POSP,5
SAI,OCC-SAI-009,POSP,12.5
SAI,OCC-SAI-012,POSP,12.5
MAU,OCC-MAU-002,POSP,12
MAU,OCC-MAU-019,POSP,118
PAG,OCC-PAG-006,POSP,90.2
PAG,OCC-PAG-013,POSP,19
ASC,OCC-ASC-003,POSP,14.1
GUA,OCC-GUA-015,MOSP,12.5
GUA,OCC-GUA-025,MOSP,12.5
GUA,OCC-GUA-026,MOSP,5
SAI,OCC-SAI-009,MOSP,12.5
SAI,OCC-SAI-012,MOSP,12.5
MAU,OCC-MAU-002,MOSP,12
MAU,OCC-MAU-019,MOSP,12.5
PAG,OCC-PAG-006,MOSP,12.5
PAG,OCC-PAG-013,MOSP,19
ASC,OCC-ASC-003,MOSP,12.5
GUA,OCC-GUA-015,POCS,12.5
GUA,OCC-GUA-025,POCS,25
GUA,OCC-GUA-026,POCS,5
SAI,OCC-SAI-009,POCS,12.5
SAI,OCC-SAI-012,POCS,12.5
MAU,OCC-MAU-002,POCS,12
MAU,OCC-MAU-019,POCS,118
PAG,OCC-PAG-006,POCS,12.5
PAG,OCC-PAG-013,POCS,19
ASC,OCC-ASC-003,POCS,123
