Region,Island,Year,ESD Site Name,Latitude,Longitude
MARI,GUA,2022,OCC-GUA-015,13.52893,144.80042
MARI,GUA,2022,OCC-GUA-025,13.46748,144.68121
MARI,GUA,2022,OCC-GUA-026,13.47637,144.69742
MARI,SAI,2022,OCC-SAI-009,15.09785,145.743427
MARI,SAI,2022,OCC-SAI-012,15.156373,145.689743
MARI,MAU,2022,OCC-MAU-002,20.03577,145.22467
MARI,MAU,2022,OCC-MAU-019,20.0142577,145.227279
MARI,PAG,2022,OCC-PAG-006,18.09614,145.76482
MARI,PAG,2022,OCC-PAG-013,18.12007,145.75471
MARI,ASC,2022,OCC-ASC-003,19.67703,145.41075
